gender,vocal_feature
female,-223912.5578
female,-209716.7812
male,-205001.4849
male,-274200.2426
male,-186774.6239
female,-253847.2704
male,-182224.588
male,-214814.6103
male,-228766.433
female,-223119.4744
female,-213826.3976
male,-211329.2933
male,-212052.0077
female,-245880.7352
male,-185661.1484
female,-265933.7478
female,-231042.8931
male,-177467.2567
male,-196802.205
female,-235250.7154
male,-194529.5017
male,-215329.0622
female,-233260.8239
female,-248554.5694
female,-236682.9103
male,-205250.2905
male,-178050.392
female,-246618.967
male,-182602.631
male,-205926.5861
male,-204669.9358
female,-250420.8371
female,-254646.7403
male,-225564.2068
male,-189870.0847
female,-230714.9109
female,-228149.6283
male,-205875.5453
male,-173699.7059
male,-207877.1443
male,-203952.142
male,-207595.1826
male,-220096.5285
female,-214417.3238
male,-155354.9282
male,-225571.9841
male,-189169.0261
female,-216850.9914
male,-179587.5204
female,-254279.0566
female,-228055.2751
female,-241153.049
female,-219113.0515
female,-213110.3506
female,-211285.6693
female,-240381.6813
male,-174698.0885
female,-189696.7049
male,-187925.0709
female,-233792.3826
male,-214286.149
male,-178177.9982
male,-200831.7401
male,-215303.4978
female,-233620.2897
female,-233159.5292
female,-275357.461
male,-142632.5924
male,-188121.5031
male,-194861.3628
male,-200798.7246
female,-258533.9734
male,-218095.0327
female,-245979.0276
female,-238107.5664
female,-204002.4492
female,-211454.7334
male,-207347.9182
female,-274708.7944
female,-233751.2129
female,-247015.2643
male,-212279.2443
female,-243342.2958
female,-240535.7087
female,-238702.7775
female,-244170.8441
male,-187275.5198
male,-195689.1237
male,-183340.1622
male,-182118.4123
female,-282283.9577
female,-237975.1992
male,-201455.2177
female,-267973.1648
male,-212967.9784
female,-224036.5489
female,-242351.2324
female,-249438.0432
male,-194682.5918
female,-227290.1769
female,-302818.5606
female,-212339.2327
male,-217679.2346
male,-208688.2427
male,-200376.8954
male,-226753.2439
male,-182951.8437
female,-242957.541
female,-235948.4647
male,-191968.3324
male,-214319.4768
female,-253578.5223
male,-204717.827
male,-204761.3652
male,-177246.0664
female,-219668.604
male,-200833.018
male,-185215.7632
male,-197266.5756
female,-236718.3782
female,-237078.387
male,-171232.0424
female,-214487.0728
female,-219610.9428
male,-212188.5421
male,-183930.0096
male,-180257.2491
male,-222041.0772
female,-231383.5968
male,-208560.2776
male,-261979.7636
male,-226298.9799
male,-215774.8203
female,-227044.4282
female,-247919.4733
male,-186763.7847
female,-234010.7155
male,-216706.3756
male,-219441.523
female,-238948.3575
male,-274136.5252
female,-254001.6441
male,-174639.0484
male,-192777.5155
female,-229999.8118
male,-186948.449
female,-239506.0233
male,-200937.795
female,-234397.3249
male,-186354.1803
male,-217417.6016
male,-181553.2819
male,-216907.4743
male,-196368.5667
male,-263373.774
female,-231479.4896
male,-221010.7142
male,-192125.3996
male,-189329.6157
female,-217400.888
male,-192268.9485
male,-182583.5955
female,-263466.6838
female,-227503.0902
male,-215712.0277
male,-185395.8697
female,-245054.8578
male,-185469.5726
male,-227779.7771
female,-224288.106
female,-212458.5763
male,-195753.2741
female,-244418.647
male,-205426.5399
male,-216646.5137
female,-238860.9179
male,-181906.9781
female,-247227.9476
male,-162376.8897
female,-216611.4683
female,-230660.399
male,-174224.2859
female,-230667.4899
female,-239046.3429
female,-239938.1314
male,-172061.3264
female,-240283.3229
female,-222320.9652
male,-159899.3824
male,-199835.2737
male,-158598.5994
male,-167992.0944
female,-251603.5142
female,-222797.7436
male,-212927.0682
female,-239772.9357
female,-241246.1558
female,-248272.2981
female,-217980.1107
male,-202842.8979
female,-246880.6841
male,-187434.1502
female,-212980.21
male,-204315.0858
female,-254200.439
male,-216676.4613
female,-225594.6023
female,-225836.7977
male,-178973.7443
female,-243688.1331
male,-189897.2788
male,-210079.0667
male,-225975.2436
male,-206686.2003
female,-229907.5111
female,-164657.1946
female,-242270.328
male,-225237.2859
female,-229789.3831
male,-167191.8256
female,-230761.19
male,-196035.3943
female,-221538.2783
female,-226188.2479
female,-215548.6858
male,-186219.4668
male,-182655.5738
male,-181663.4768
female,-231296.5154
female,-212933.4516
female,-220250.9306
female,-240859.0846
female,-227564.3131
female,-259749.7022
